DeviceRowID,Value1,Value2,Value3,Value4,Value5,Value6,Counter1,Counter2,Counter3,Counter4,Date
91,2434,0,1506,4254,783,14816,1183505,905224,674227,2273626,2023-08-22
91,2944,0,2728,4324,1697,25243,1186449,905224,675924,2298869,2023-08-23
